what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1448694920518
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1448694920538
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1448694925806
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1448694925806
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448694931215
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448694932151
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1448694936107
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1448694937455
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1448694938479
executed,command,,,"AUTOGEN:::org.eclipse.jst.jsp.core.jspsource.ruler.actions/org.eclipse.ui.texteditor.SelectRulerAction",1448694946528
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448694949420
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448694966929
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1448694968685
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1448694991239
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448694997423
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448695014693
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1448695016345
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1448695019393
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1448695020421
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1448695032506
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1448695036862
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448695043751
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448695084265
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1448695088186
opened,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1448695088442
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1448695088526
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448695091262
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448695174092
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1448695175472
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448695177752
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448695198769
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1448695198805
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448695203634
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448695212382
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448695216054
started,bundle,org.eclipse.wst.common.project.facet.ui,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.ui",1448695219095
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448695243260
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1448695243272
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448695248477
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448695251941
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1448695251981
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1448695252461
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1448695252537
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1448695255361
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1448695255561
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448695262002
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448695305033
started,bundle,org.eclipse.wst.validation.ui,1.2.300.v201201050300,"org.eclipse.wst.validation.ui",1448695309789
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448695309845
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448695318798
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448695324222
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448695333511
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1448695335607
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448695398951
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448695439442
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1448695441910
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1448695449399
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1448695450747
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1448695454347
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448695455419
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448695463756
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1448695469004
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448695470916
