what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449292725155
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449292753044
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449292833800
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449292836292
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449292884694
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1449292894698
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1449292897514
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1449292927674
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449292930695
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449292933872
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1449292933891
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449292944759
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449292958796
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1449292965401
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1449292967905
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1449292972353
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449292975218
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449292978021
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1449292978035
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.eof",1449293000562
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1449293003571
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1449293004743
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1449293005222
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1449293006195
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1449293006764
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1449293007829
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1449293015187
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449293018624
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449293022504
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1449293022529
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1449293061397
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1449293062951
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449293066610
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449293069604
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1449293069630
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1449293098544
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1449293100207
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449293104678
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449293130509
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1449293130550
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1449293130550
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1449293139772
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449293149358
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449293457572
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449293460599
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449293489184
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1449293526472
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449293528267
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1449293535311
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449293546689
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1449293548674
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1449293555012
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1449293572632
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449293580317
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449293584447
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1449293608434
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1449293611819
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1449293635365
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1449293640781
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1449293641050
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1449293641442
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1449293641783
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1449293643876
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1449293650502
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449293652560
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449293654456
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1449293654485
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1449293686506
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1449293691334
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1449293695018
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1449293699748
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1449293714358
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449293726937
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449293732818
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1449293741068
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1449293774430
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1449293808028
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1449293813681
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1449293814235
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1449293862831
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449293869883
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449293877307
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1449293881030
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449293884072
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1449293886454
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449293916809
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449293918483
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449293922113
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1449293923450
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1449293964259
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449293967052
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449293969301
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1449293969316
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1449293980118
