what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1448953954327
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448953966456
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1448953986998
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1448954012788
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1448954038309
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448954040269
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448954045231
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1448954045239
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1448954053435
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1448954112147
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448954113531
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448954116013
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1448954116021
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1448954123097
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1448954131086
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1448954144619
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1448954147555
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1448954148127
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1448954150161
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1448954150965
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1448954152610
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448954158938
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448954162683
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1448954162687
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1448954189008
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1448954199849
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448954201093
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448954203537
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1448954203541
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448954206649
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448954209805
