what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449500898412
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449500910726
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449500943829
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449500945374
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449500996997
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449500998817
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449501005309
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1449501014160
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1449501020534
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1449501027885
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1449501027988
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1449501028180
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1449501043397
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1449501055506
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1449501057408
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1449501065087
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1449501072648
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1449501078145
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1449501082680
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449501084839
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449550145581
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1449550156203
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449550166862
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449550187399
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449550204446
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449550206287
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1449550215575
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1449550215745
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1449550223508
