what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1449486640713
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1449486642029
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449486649282
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449486649988
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1449486650048
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449486652708
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449486653556
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449486653997
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449486793839
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1449486794875
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1449486797267
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1449486808008
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1449486822325
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449486824717
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449486989200
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449486998685
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449487015446
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1449487027439
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449487030907
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449487798539
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1449487806240
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1449487809048
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1449487810100
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1449487810264
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1449487812950
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449487818930
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449487820703
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1449487820715
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1449487847140
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1449487862171
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1449487865684
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1449487866859
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1449487867082
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1449487869563
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1449487876918
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449487879066
