what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1449020178352
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449020696397
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449032003751
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449032030283
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1449032030297
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449032041354
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1449032045424
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449032047245
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449032055214
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1449032056620
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1449032126874
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449032133306
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449032137173
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449032141280
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449032649400
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1449032652435
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449032656990
started,bundle,org.eclipse.jst.servlet.ui,1.1.502.v201202011054,"org.eclipse.jst.servlet.ui",1449032661363
started,bundle,org.eclipse.wst.common.environment,1.0.400.v200912181832,"org.eclipse.wst.common.environment",1449032661440
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449032680721
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1449032680753
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1449032680753
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449032954352
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449032965253
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1449033036429
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449033039807
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449033043006
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449033044452
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449033125422
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1449033127624
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1449033128819
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449033131089
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449033281442
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449033284049
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449033312306
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449033313250
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449033341364
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1449033342829
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1449033399106
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449033401754
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449033457457
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449033471004
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449033481362
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449033485143
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449033491614
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449033494428
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449033649052
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449033659118
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449033831548
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1449033835368
