what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1447395881009
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1447395881581
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1447395882045
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1447395882937
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1447395899450
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1447395903322
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1447395903834
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1447395904963
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1447395916763
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1447395917023
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1447395921884
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1447395922056
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1447395934193
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1447395934473
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1447395934521
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1447395940641
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1447395940845
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447395960167
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447396010566
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1447396019507
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1447396044256
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.surround.with.try.catch",1447396047197
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1447396076663
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1447396079159
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1447396079803
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1447396089536
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447396090136
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447396091928
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1447396100812
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447396104449
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447396146579
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447396148312
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447396151348
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447396153628
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447396153856
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447396155088
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447396157844
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447396158900
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447396160408
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447396162489
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447396162713
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447396168429
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447396182854
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1447396182870
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1447396182870
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1447396304280
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1447396328766
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1447396332094
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1447396338823
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1447396347323
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1447396357200
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.scroll.lineDown",1447396364804
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1447396382078
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1447396391082
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447396393958
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447396407551
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1447396407567
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1447396407567
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447396416124
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447396546544
started,bundle,org.eclipse.xsd,2.7.1.v20120130-0943,"org.eclipse.xsd",1447396554473
started,bundle,org.eclipse.wst.xsl.ui,1.1.200.v201103082057,"org.eclipse.wst.xsl.ui",1447396554565
